Application:	reordering	16
2974	1387	2191	1097	2272	2075	2453	2508	2150	2072	2151	0	0	0	0	0
1387	2094	2065	2197	1770	1318	1128	1070	1523	1060	2274	3941	1393	0	0	0
2191	2065	2608	1793	2103	1868	1422	1402	1205	944	976	1281	3349	0	0	0
1097	2197	1793	2986	1861	1414	1253	1417	1835	1242	1094	1834	992	1987	0	0
2272	1770	2103	1861	2924	1848	1689	1623	1328	926	853	1003	914	1871	0	0
2075	1318	1868	1414	1848	3750	2087	1571	1330	732	729	917	1067	2779	0	0
2453	1128	1422	1253	1689	2087	3588	1795	1138	957	1010	880	1046	1424	1113	0
2508	1070	1402	1417	1623	1571	1795	3692	1097	1553	908	907	1133	1062	1780	0
2150	1523	1205	1835	1328	1330	1138	1097	4228	1425	1149	1299	951	946	1418	0
2072	1060	944	1242	926	732	957	1553	1425	4942	785	984	1220	1267	2870	0
2151	2274	976	1094	853	729	1010	908	1149	785	5026	1403	908	998	2638	82
0	3941	1281	1834	1003	917	880	907	1299	984	1403	4056	1413	1188	878	1025
0	1393	3349	992	914	1067	1046	1133	951	1220	908	1413	4706	1364	1097	1426
0	0	0	1987	1871	2779	1424	1062	946	1267	998	1188	1364	5222	1483	1388
0	0	0	0	0	0	1113	1780	1418	2870	2638	878	1097	1483	7814	1889
0	0	0	0	0	0	0	0	0	0	82	1025	1426	1388	1889	9150

---------
Application:	reordering	16
12	23	34	45	56	67	2453	78	2150	2072	2151	0	0	0	0	0
1387	2094	2065	2197	1770	1318	1128	1070	1523	1060	2274	3941	1393	0	0	0
2191	2065	2608	1793	2103	1868	1422	1402	1205	944	976	1281	3349	0	0	0
1097	2197	1793	2986	1861	1414	1253	1417	1835	1242	1094	1834	992	1987	0	0
2272	1770	2103	1861	2924	78	1689	1623	1328	926	853	1003	914	1871	0	0
2075	1318	1868	1414	1848	3750	2087	1571	1330	732	729	917	1067	2779	0	0
2453	1128	1422	1253	1689	2087	3588	1795	1138	957	1010	880	1046	1424	1113	0
2508	1070	1402	1417	1623	1571	34	3692	1097	1553	908	907	1133	1062	1780	0
2150	1523	1205	1835	1328	1330	1138	1097	4228	1425	1149	1299	951	946	1418	0
2072	1060	944	1242	926	732	957	1553	1425	4942	785	984	1220	1267	2870	0
2151	2274	976	1094	853	729	1010	908	1149	785	5026	1403	908	998	2638	82
0	3941	1281	1834	1003	917	880	907	1299	984	1403	4056	1413	1188	878	1025
0	1393	3349	992	914	1067	1046	1133	951	1220	908	1413	4706	1364	1097	1426
0	0	0	1987	1871	2779	1424	1062	946	1267	998	1188	1364	5222	1483	1388
0	0	0	0	0	0	1113	1780	1418	2870	2638	878	1097	1483	7814	1889
0	0	0	0	0	0	0	0	0	0	82	1025	1426	1388	1889	9150
